timestamp,download_mbps,upload_mbps,ping_ms,server_name,server_location,isp
2026-03-06T11:15:44.479890,224.88,55.89,33.24,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T11:16:13.101227,360.44,53.27,24.83,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-06T11:31:16.789164,223.64,55.45,23.86,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-06T11:46:17.548264,386.99,52.43,25.06,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-06T12:16:29.838294,472.02,29.54,19.82,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-06T12:31:39.341934,397.35,6.86,25.5,"KamaTera, Inc.","Seattle, WA, United States",Wave Broadband
2026-03-06T12:46:47.313833,394.69,14.4,18.9,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-06T13:17:03.278371,350.93,49.01,20.93,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-06T13:32:08.030405,526.87,15.76,19.95,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-06T13:47:12.531382,562.06,52.22,20.04,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-06T14:17:20.861329,558.76,55.75,22.13,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-06T14:32:28.443816,580.25,49.79,20.15,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-06T14:47:39.818269,321.09,50.53,19.22,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-06T15:17:54.977260,292.41,55.81,28.11,DirectLink,"Canby, OR, United States",Wave Broadband
2026-03-06T15:33:02.735143,235.73,48.77,26.11,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T15:48:10.811425,274.53,55.73,27.56,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T16:18:25.313955,330.36,41.96,26.96,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T16:33:32.835418,317.75,47.48,28.54,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T16:48:36.136082,257.08,51.19,27.48,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T17:03:37.852070,314.42,49.75,28.05,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T17:18:49.705558,359.41,48.64,33.01,DirectLink,"Canby, OR, United States",Wave Broadband
2026-03-06T17:33:53.825903,256.47,46.83,27.86,DirectLink,"Canby, OR, United States",Wave Broadband
2026-03-06T17:49:01.618620,96.68,55.75,27.28,Hood River Electric Coop,"Hood River, OR, United States",Wave Broadband
2026-03-06T18:19:15.264232,341.37,43.12,21.49,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-06T18:49:19.500222,387.04,55.85,23.03,GSL Networks,"Seattle, WA, United States",Wave Broadband
2026-03-06T19:19:35.827053,231.54,54.77,22.29,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-06T19:34:43.485078,219.76,48.39,19.79,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-06T19:49:44.083052,308.72,38.94,20.14,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-06T20:19:53.783463,435.54,45.22,22.59,GSL Networks,"Seattle, WA, United States",Wave Broadband
2026-03-06T20:35:03.699383,206.69,51.03,18.58,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-06T20:50:11.968162,223.31,53.41,19.99,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-06T21:20:16.955573,321.47,51.6,27.04,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T21:35:25.739591,319.66,51.12,23.82,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T21:50:30.323605,388.13,38.98,24.21,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T22:05:33.861947,329.04,52.03,23.96,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T22:20:36.795972,323.17,51.08,23.83,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-06T22:35:45.695489,327.91,52.16,23.74,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T22:50:52.127164,333.3,51.38,23.94,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-06T23:05:59.488406,333.97,52.04,23.72,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T23:21:06.413155,392.53,52.42,26.66,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T23:36:07.378230,355.07,50.69,24.28,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-06T23:51:10.673121,408.33,51.04,24.24,Sherwood Broadband,"Sherwood, OR, United States",Wave Broadband
2026-03-07T00:06:13.143114,504.76,54.89,21.39,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T00:21:18.693902,279.61,44.09,21.6,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T00:36:25.192469,386.7,50.27,20.66,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T00:51:31.949320,400.32,50.62,20.17,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T01:06:38.621562,469.39,55.69,22.98,Astound Broadband,"Port Orchard, WA, United States",Wave Broadband
2026-03-07T01:21:47.166946,384.55,51.4,22.88,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T01:36:54.757854,411.88,51.45,20.98,Astound Broadband,"Port Orchard, WA, United States",Wave Broadband
2026-03-07T01:51:57.944648,413.02,51.17,18.84,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T02:07:00.727889,358.61,48.4,22.24,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T02:22:06.354278,458.14,45.37,18.41,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T02:37:21.784428,327.46,38.08,20.16,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T02:52:21.615855,480.84,55.42,18.58,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T03:07:33.029932,231.62,53.76,29.91,FIBERFI,"Portland, OR, United States",Wave Broadband
